nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg idola,4.5,86,-6.2493022,106.7837738,"jl. bungur ii, rt.4/rw.2, kby. lama sel., dki jakarta",ChIJ75L4HhDxaS4RgYOwHHC9nog,0
wahyoo warteg sederhana,4.4,16,-6.2579637,106.7897662,"jl. minang kramat no.1b, rt.2/rw.14, gandaria utara, kota jakarta selatan",ChIJzzW9PwrxaS4RdKXd702mxKs,0
warteg kharisma bahari - kostrad,4.5,19,-6.2533197,106.7852406,"jl. darma putra raya jl. swadaya no.51, rt.9/rw.5, kby. lama sel., kota jakarta selatan",ChIJ78_ZKA_xaS4RjhU79awBWnI,0
wahyoo warteg berkah bahari,5,1,-6.2532236,106.7842465,"jl. praja no.dalam, rt.5/rw.5, south kebayoran lama, south jakarta city",ChIJydRgLtzxaS4RhDc26tp6fU0,0
wahyoo warteg mekarsari,4.5,79,-6.2522474,106.7833053,"dalam k nomor, jl. praja no.40, rt.7/rw.5, kby. lama sel., kota jakarta selatan",ChIJNS1Wdg_xaS4RQUMIMTYVufw,0
wahyoo warteg hidayah,0,0,-6.249195599999999,106.7826033,"jl. bungur ii no.57, rt.2/rw.2, kby. lama sel., kota jakarta selatan",ChIJ-X5OABDxaS4RtSLrS7TkDtw,0
warteg barokah,4.8,4,-6.247303899999999,106.7797712,"jl. bungur, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJwahg_BrxaS4RNRojSe6S7EQ,0
warteg ana,5,3,-6.248831099999999,106.7843621,"jalan bungur ii rw003, rt.4/rw.12, kby. lama sel., kec. kby. lama, kota jakarta selatan, dki jakarta12240, rt.5/rw.2, kby. lama sel., kota jakarta selatan",ChIJLdK__YTxaS4RnAEzfcP6EOg,0
warteg mubarok,4.3,11,-6.2499981,106.7900569,"jl. antena ii no.17, rt.3/rw.8, kramat pela, kota jakarta selatan",ChIJMRQqlw3xaS4RAbC3wsz1ewQ,0
warteg raji,4.3,4,-6.2583739,106.7824829,"jl. tanah kusir ii no.9, rt.3/rw11/rw.9, kby. lama sel., kota jakarta selatan",ChIJUT0qYJfxaS4RWNnA0Jb0FOI,0
warteg selasih,5,2,-6.2568402,106.7857907,"jl. taman radio dalam vii, rt.13/rw.11, gandaria utara, kota jakarta selatan",ChIJT0T3qQnxaS4RHNgaUwtW9r8,0
warteg bude,5,1,-6.258171,106.7807351,"tanah kusir 4, rt.6/rw.9, kby. lama sel., kota jakarta selatan",ChIJAVcg37XxaS4R9MJi5PH9HBM,0
warteg rezkq,5,2,-6.258972,106.7896343,"jl. h. zainuddin no.27-7, rt.5/rw.14, gandaria utara, kota jakarta selatan",ChIJE_-oVybxaS4R2kNkeOhgJiU,0
warteg waluyo,4.2,11,-6.2599342,106.7845167,"jl. kopro banjir, rt.7/rw.11, kby. lama sel., kota jakarta selatan",ChIJ1Z8Ij6fxaS4Rw9PgmuWtJbs,0
warteg munawar,4.5,17,-6.2598405,106.7852074,"jl. dwijaya iv, rt.7/rw.11, kby. lama sel., kota jakarta selatan",ChIJ48rKg6fxaS4RdVX2uuxZPIQ,0
teguh warteg,5,3,-6.2584871,106.7912614,"jl. h. jaenudin dalam no.61, rt.2/rw.14, gandaria utara, kota jakarta selatan",ChIJyeSTNwrxaS4Rxa1sJeY4kSc,0
warteg (wahyoo) enno,5,4,-6.2498542,106.7915148,"jl. radio dalam raya no.2, rt.14/rw.2, gandaria utara, kota jakarta selatan",ChIJn2kcbrrxaS4RrbmUrkJi46s,0
warteg kharisma,4.3,13,-6.246765099999999,106.7882461,"jl. jatayu no.rt.7, rt.8/rw.3, south kebayoran lama, south jakarta city",ChIJwTFnhBHxaS4RUnkcZqdgsTI,0
warteg bahari,3.8,26,-6.254552,106.76359,"jl ulujami raya rt009, rt.1/rw.2, rw001, kota jakarta selatan",ChIJPeJhsf_xaS4RIRhBtphrPOM,0
warteg,0,0,-6.2524215,106.7645101,"jl. ulujami raya, rt.6/rw.1, pesanggrahan, kota jakarta selatan",ChIJUxllf_vwaS4RbGeCs67VkJE,0
warteg jaya,4.4,8,-6.2552173,106.7675455,"jl. masjid al muflihun no.3, rt.3/rw.10, bintaro, kota jakarta selatan",ChIJ-R4lh_7waS4RjiHPWe-xzQA,0
warteg khaerunnisa,5,1,-6.2584474,106.7630099,"jl. bintaro permai iii no.19, rt.2/rw.9, bintaro, kota jakarta selatan",ChIJSzzue47xaS4R72CQQEfZYSE,0
warteg mulya jaya,0,0,-6.2559947,106.7631338,"jl. ulujami raya, rt.10/rw.2, pesanggrahan, kota jakarta selatan",ChIJRQqGafnwaS4RfBPm6WrQIRw,0
warteg sido untung,4.4,23,-6.255338999999999,106.7663995,"jl. masjid al muflihun no.10, rt.2/rw.10, bintaro, kota jakarta selatan",ChIJh49up_7waS4R8SCzr0XMHT4,0
